instrument,datetime,open,close,next_open,future_close_5d,label_5d,price_issue,label_issue,is_anomaly,abs_label_5d
000677.sz,2024-10-10,2.94,2.96,0.16065574,3.58,21.283672,False,True,True,21.283672
000061.sz,2024-10-10,6.135411,6.1848903,0.27403146,6.1057234,21.281103,False,True,True,21.281103
002241.sz,2024-10-10,21.670105,22.451714,0.94304,20.956888,21.222692,False,True,True,21.222692
600547.sh,2024-10-10,26.571789,26.818647,1.2327577,27.361734,21.195549,False,True,True,21.195549
600820.sh,2024-10-10,6.3599753,6.4918857,0.28672254,6.3317084,21.083052,False,True,True,21.083052
600657.sh,2024-10-10,4.05,4.02,0.23553841,5.2,21.077078,False,True,True,21.077078
002572.sz,2024-10-10,13.875213,14.222093,0.67228687,14.7771015,20.98035,False,True,True,20.98035
000016.sz,2024-10-10,3.25,3.21,0.14256983,3.13,20.954155,False,True,True,20.954155
000623.sz,2024-10-10,17.33714,16.470284,0.70788187,15.439686,20.811106,False,True,True,20.811106
002038.sz,2024-10-10,7.5694556,7.5096183,0.3299953,7.1605654,20.698992,False,True,True,20.698992
600674.sh,2024-10-10,17.50573,17.554491,0.7951734,17.24241,20.683838,False,True,True,20.683838
600704.sh,2024-10-10,4.653362,4.7007484,0.2091078,4.492247,20.482925,False,True,True,20.482925
600895.sh,2024-10-10,26.756268,24.979795,1.1600379,24.920248,20.482271,False,True,True,20.482271
000839.sz,2024-10-10,2.68,2.7,0.11808411,2.53,20.425406,False,True,True,20.425406
600517.sh,2024-10-10,5.392361,5.3140693,0.2372715,5.030261,20.200443,False,True,True,20.200443
000008.sz,2024-10-10,2.28,2.35,0.10442699,2.21,20.163113,False,True,True,20.163113
600100.sh,2024-10-10,6.46,6.32,0.29714125,6.26,20.067423,False,True,True,20.067423
600153.sh,2024-10-10,8.523817,8.669835,0.41899076,8.788475,19.975344,False,True,True,19.975344
600863.sh,2024-10-10,4.330966,4.4639344,0.20430477,4.2834773,19.966116,False,True,True,19.966116
600383.sh,2024-10-10,4.8,4.91,0.2538579,5.32,19.956606,False,True,True,19.956606
600794.sh,2024-10-10,3.3562381,3.3269684,0.15337145,3.189901,19.798532,False,True,True,19.798532
600143.sh,2024-10-10,8.118745,7.999934,0.3732138,7.7128077,19.665924,False,True,True,19.665924
600703.sh,2024-10-10,13.4782715,12.979076,0.5916832,12.200332,19.619703,False,True,True,19.619703
002415.sz,2024-10-10,29.465221,29.568905,1.2797097,26.382967,19.61637,False,True,True,19.61637
000415.sz,2024-10-10,2.87,2.82,0.1338496,2.74,19.470736,False,True,True,19.470736
002219.sz,2024-10-10,2.71,2.82,0.12586844,2.55,19.259249,False,True,True,19.259249
600583.sh,2024-10-10,5.3452053,5.480039,0.25544044,5.1525855,19.171377,False,True,True,19.171377
002542.sz,2024-10-10,1.84,1.82,0.09423473,1.89,19.056301,False,True,True,19.056301
000631.sz,2024-10-10,2.6223483,2.6123772,0.12941787,2.5924354,19.031511,False,True,True,19.031511
600352.sh,2024-10-10,9.591888,9.55471,0.46576533,9.275296,18.914097,False,True,True,18.914097
000078.sz,2024-10-10,2.47,2.47,0.12058191,2.4,18.903484,False,True,True,18.903484
000338.sz,2024-10-10,13.455756,13.78055,0.6333352,12.583452,18.868551,False,True,True,18.868551
600742.sh,2024-10-10,8.001193,8.037686,0.38155624,7.5176544,18.702612,False,True,True,18.702612
600271.sh,2024-10-10,10.03,9.92,0.49295074,9.67,18.616566,False,True,True,18.616566
002312.sz,2024-10-10,9.630745,9.278758,0.48385596,9.405864,18.439388,False,True,True,18.439388
002028.sz,2024-10-10,72.35821,73.41105,3.6234477,69.83536,18.27318,False,True,True,18.27318
600750.sh,2024-10-10,20.328259,20.410448,1.0182974,19.606815,18.254507,False,True,True,18.254507
600239.sh,2024-10-10,2.6,2.75,0.14447398,2.76,18.103785,False,True,True,18.103785
002410.sz,2024-10-10,14.399018,13.216865,0.712421,13.449419,17.878471,False,True,True,17.878471
000563.sz,2024-10-10,3.4085064,3.2565951,0.17662154,3.313562,17.760803,False,True,True,17.760803
002400.sz,2024-10-10,5.329201,5.2793956,0.28124404,5.22959,17.594492,False,True,True,17.594492
600575.sh,2024-10-10,3.426827,3.5505736,0.18748182,3.4744217,17.532045,False,True,True,17.532045
601012.sh,2024-10-10,17.03,16.95,0.8465769,15.61,17.438961,False,True,True,17.438961
600111.sh,2024-10-10,20.069475,20.507717,1.0146266,18.69499,17.425488,False,True,True,17.425488
600327.sh,2024-10-10,3.6568496,3.6866608,0.20330326,3.7363462,17.378191,False,True,True,17.378191
002421.sz,2024-10-10,2.98,2.87,0.15493867,2.84,17.329832,False,True,True,17.329832
000517.sz,2024-10-10,2.35,2.33,0.129186,2.35,17.190825,False,True,True,17.190825
002481.sz,2024-10-10,4.637158,4.726334,0.25298867,4.5578904,17.016184,False,True,True,17.016184
000801.sz,2024-10-10,9.985752,9.78703,0.6558616,11.81399,17.01293,False,True,True,17.01293
002714.sz,2024-10-10,41.697575,40.842964,2.1660075,38.72991,16.880783,False,True,True,16.880783
000539.sz,2024-10-10,4.7990394,4.818952,0.25711292,4.560083,16.73572,False,True,True,16.73572
000858.sz,2024-10-10,137.8906,141.91518,7.333852,128.8143,16.564344,False,True,True,16.564344
002124.sz,2024-10-10,2.38,2.38,0.14921752,2.62,16.55826,False,True,True,16.55826
600624.sh,2024-10-10,3.84,3.8,0.21509027,3.77,16.527525,False,True,True,16.527525
002035.sz,2024-10-10,6.715254,6.825793,0.38485244,6.7428885,16.520712,False,True,True,16.520712
000636.sz,2024-10-10,15.875705,15.341569,0.8679841,15.203089,16.5154,False,True,True,16.5154
600170.sh,2024-10-10,2.2552197,2.304034,0.1273913,2.2259312,16.47318,False,True,True,16.47318
600521.sh,2024-10-10,19.321117,19.232803,1.0181247,17.731466,16.41581,False,True,True,16.41581
600039.sh,2024-10-10,6.349517,6.758243,0.4935567,8.554738,16.332838,False,True,True,16.332838
000417.sz,2024-10-10,4.7573776,5.012412,0.27056846,4.6789055,16.292871,False,True,True,16.292871
002063.sz,2024-10-10,5.8874674,5.758834,0.31842405,5.4916716,16.24641,False,True,True,16.24641
600176.sh,2024-10-10,10.569921,10.782284,0.5703169,9.826647,16.230152,False,True,True,16.230152
600161.sh,2024-10-10,23.737892,23.481266,1.2280331,21.122282,16.200092,False,True,True,16.200092
002152.sz,2024-10-10,11.631124,11.21164,0.63448936,10.87796,16.144432,False,True,True,16.144432
002108.sz,2024-10-10,3.4151392,3.3956797,0.18634836,3.1913552,16.125748,False,True,True,16.125748
000637.sz,2024-10-10,3.36,3.4,0.19627142,3.36,16.11915,False,True,True,16.11915
000876.sz,2024-10-10,9.890452,9.81061,0.5384645,9.171872,16.033384,False,True,True,16.033384
600846.sh,2024-10-10,7.861668,7.910681,0.44337094,7.5185776,15.95776,False,True,True,15.95776
600645.sh,2024-10-10,21.91,21.59,1.1825348,20.01,15.921278,False,True,True,15.921278
002256.sz,2024-10-10,1.94,2.16,0.14580323,2.46,15.872055,False,True,True,15.872055
000970.sz,2024-10-10,9.439523,9.459458,0.5262254,8.81155,15.744822,False,True,True,15.744822
000426.sz,2024-10-10,12.216713,12.236642,0.73421097,12.266537,15.707102,False,True,True,15.707102
600125.sh,2024-10-10,5.864905,5.932429,0.33487976,5.5948105,15.706924,False,True,True,15.706924
601216.sh,2024-10-10,4.0844016,4.103851,0.23346518,3.8899062,15.661612,False,True,True,15.661612
600718.sh,2024-10-10,10.31415,10.009055,0.57691,9.546494,15.54763,False,True,True,15.54763
