factor_name,coverage,nunique,quality_ok,ic,icir,win_rate,p_adjusted,significant,stable,redundant,selected,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025,pos_2020,pos_2021,pos_2022,pos_2023,pos_2024,pos_2025,n_years,n_ic_years,ic_consistency
illiquidity_amihud,1.0,4199005,True,0.036635142012809076,0.22288453420964877,0.6158075601374571,0.0,True,True,False,True,0.006215205587951586,0.05307511019329562,0.05073920721462214,0.0632216731094212,0.016570106852107417,0.0370165688987952,0.5432098765432098,0.6296296296296297,0.6983471074380165,0.6611570247933884,0.5661157024793388,0.5967078189300411,6,4,0.6666666666666666
QTLD10,1.0,1406743,True,0.03620316563383437,0.32349674450527877,0.6281786941580756,0.0,True,True,False,True,0.03681941267299295,0.03291802021627777,0.04573509834510695,0.035115246683364826,0.03875997275248954,0.05884534001563974,0.6008230452674898,0.5761316872427984,0.6611570247933884,0.6570247933884298,0.5909090909090909,0.6831275720164609,6,6,1.0
ROC20,1.0,1511699,True,0.03418826437890034,0.28677099192430916,0.6164948453608248,0.0,True,True,False,True,0.02874756614720305,0.021973275344616655,0.04503452885844887,0.034278560141005075,0.05290485764037474,0.07139284774861476,0.5802469135802469,0.5761316872427984,0.5867768595041323,0.6322314049586777,0.6033057851239669,0.720164609053498,6,6,1.0
VSUMN30,1.0,2616937,True,0.03400407633054214,0.3954363470994053,0.6487972508591066,0.0,True,True,False,True,0.03589040269038127,0.011883155272771896,0.042669866806638486,0.028147572393088443,0.039009678115786324,0.057657778940432385,0.6419753086419753,0.5308641975308642,0.6900826446280992,0.6322314049586777,0.640495867768595,0.757201646090535,6,5,0.8333333333333334
QTLD5,1.0,1063207,True,0.033757465189209884,0.29297548432606224,0.6123711340206186,0.0,True,True,False,True,0.03624437741532852,0.03238824916769307,0.04615506111294803,0.021600136443182084,0.030929038759981292,0.052866208007384306,0.6337448559670782,0.5967078189300411,0.6322314049586777,0.5619834710743802,0.5702479338842975,0.6790123456790124,6,6,1.0
EXTREME_REV,1.0,12277,True,0.03342837266620649,0.664768160803167,0.7848797250859106,0.0,True,True,False,True,0.026155102304846977,0.02610376524142127,0.039678978728457964,0.029105756896490118,0.04026708371684166,0.0369524792098681,0.7242798353909465,0.7489711934156379,0.8223140495867769,0.7933884297520661,0.8057851239669421,0.8148148148148148,6,6,1.0
ROC60,1.0,2097402,True,0.032926449582580716,0.260282420593704,0.5958762886597938,0.0,True,True,False,True,0.0034935093542092423,0.04988285350519659,0.048129382074079116,0.02977480873853853,0.06382770259513308,0.058340200594323675,0.4609053497942387,0.6419753086419753,0.6074380165289256,0.6033057851239669,0.5785123966942148,0.6831275720164609,6,5,0.8333333333333334
QTLU60,1.0,2023387,True,0.03289599034779777,0.24816149962419518,0.593127147766323,0.0,True,True,False,True,0.02067804658122426,0.03748558872140669,0.05189610915248032,0.020477440386810916,0.04954191120907252,0.06653103077463558,0.5267489711934157,0.5967078189300411,0.6198347107438017,0.5661157024793388,0.5495867768595041,0.6995884773662552,6,6,1.0
BETA30,1.0,4261999,True,-0.03300390343713228,-0.26192507366560874,0.41718213058419246,0.0,True,True,False,True,-0.019260807079832503,-0.024431389388580676,-0.04847806697194708,-0.029605754413589584,-0.057418344237204565,-0.06103488324776382,0.4567901234567901,0.4403292181069959,0.4297520661157025,0.4297520661157025,0.3925619834710744,0.35390946502057613,6,5,0.8333333333333334
Alpha118,1.0,2698276,True,-0.03422135242924153,-0.3252935421907482,0.3752577319587629,0.0,True,True,False,True,-0.018930718008247242,-0.01452411662969379,-0.04816937826849912,-0.04441202926246112,-0.05177459789554659,-0.046296287571433774,0.40329218106995884,0.4732510288065844,0.34297520661157027,0.32231404958677684,0.36363636363636365,0.345679012345679,6,4,0.6666666666666666
Alpha153,1.0,3595200,True,-0.034436534554623706,-0.21613327613289143,0.43848797250859106,0.0,True,True,False,True,-0.005616966483956928,-0.05332697503507365,-0.04651707491931169,-0.05147374453587276,-0.044496240195119614,-0.0038412044092802806,0.5432098765432098,0.43209876543209874,0.4256198347107438,0.33884297520661155,0.3760330578512397,0.51440329218107,6,4,0.6666666666666666
CORR20,1.0,4085782,True,-0.03466174613107683,-0.3800151959189102,0.34845360824742266,0.0,True,True,False,True,-0.03553854554074073,-0.013235000675912243,-0.042821903225466175,-0.0343383247209124,-0.053275178501658214,-0.0372015733994216,0.34156378600823045,0.3991769547325103,0.30991735537190085,0.38016528925619836,0.3140495867768595,0.345679012345679,6,5,0.8333333333333334
STD30,1.0,4045017,True,-0.03664619285539149,-0.22228769233143914,0.3979381443298969,0.0,True,True,False,True,-0.041626092550099525,-0.046922834321623474,-0.031265404617061,-0.05433341394583339,-0.030869838494091358,-0.021300306715853163,0.4074074074074074,0.35802469135802467,0.4380165289256198,0.33884297520661155,0.4049586776859504,0.4403292181069959,6,6,1.0
volume_surge,1.0,3969388,True,-0.03841693892712427,-0.3847273683703446,0.35807560137457045,0.0,True,True,False,True,-0.03212794465847859,-0.023066176652574794,-0.04684965863384227,-0.03480961862506898,-0.04934973105863391,-0.062222809901267294,0.3868312757201646,0.40329218106995884,0.3512396694214876,0.38016528925619836,0.33884297520661155,0.2880658436213992,6,6,1.0
STD20,1.0,4048393,True,-0.042959392580552966,-0.2686609519359194,0.3731958762886598,0.0,True,True,False,True,-0.04512085200360327,-0.043385648972700176,-0.04379121825763302,-0.0522255629362793,-0.046604675407251155,-0.032575674062611006,0.3950617283950617,0.3786008230452675,0.38016528925619836,0.32644628099173556,0.359504132231405,0.3991769547325103,6,6,1.0
Alpha129,1.0,1836273,True,-0.04376202704497887,-0.26290086609021773,0.40893470790378006,0.0,True,True,False,True,-0.019567066341093755,-0.060432289282627914,-0.05537102079686327,-0.058732196140728415,-0.0561771170424572,-0.014534615377493794,0.4609053497942387,0.37037037037037035,0.4132231404958678,0.3512396694214876,0.359504132231405,0.49794238683127573,6,4,0.6666666666666666
